,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
10,1000,2,100,RandomAgent,0.26,50.37,13.375092523044465,64.6923076923077,10.346940204603154,0.26639344262295084,0.32,0.41188524590163933,0.3781818181818182,1.22,2.54,4.88,2.75
11,1000,3,100,RandomAgent,0.2,50.53,11.923468455109862,65.3,9.176600677810928,0.3020833333333333,0.3935018050541516,0.37083333333333335,0.37184115523465705,1.18,2.29,4.8,2.77
12,1500,0,100,DQNAgent,0.72,65.57,14.205108236124076,71.375,11.626642655747379,0.2658788774002954,0.29916897506925205,0.4076809453471196,0.39058171745152354,3.64,3.46,6.77,3.61
13,1500,1,100,RandomAgent,0.13,48.38,11.184614432335161,59.53846153846154,6.6980523531429474,0.27400468384074944,0.32661290322580644,0.4028103044496487,0.41935483870967744,1.04,2.06,4.27,2.48
14,1500,2,100,RandomAgent,0.09,49.23,11.544570152240404,67.33333333333333,10.110500592068734,0.27586206896551724,0.28957528957528955,0.4211822660098522,0.38223938223938225,0.77,2.21,4.06,2.59
15,1500,3,100,RandomAgent,0.06,46.01,11.038564218230556,60.166666666666664,8.782874750836932,0.24770642201834864,0.2897959183673469,0.41743119266055045,0.40408163265306124,0.76,1.94,4.36,2.45
16,2000,0,100,DQNAgent,0.73,64.88,13.603146694790878,70.3013698630137,10.53329350659508,0.2936046511627907,0.3301282051282051,0.4069767441860465,0.40384615384615385,2.12,3.3,3.44,3.12
17,2000,1,100,RandomAgent,0.09,47.97,11.023116619178081,64.55555555555556,6.929984946450078,0.24606299212598426,0.2813688212927757,0.3779527559055118,0.40304182509505704,1.14,2.27,5.08,2.63
18,2000,2,100,RandomAgent,0.08,47.73,10.39601365909068,62.875,5.4184292004233106,0.23225806451612904,0.39166666666666666,0.43870967741935485,0.42916666666666664,1.11,2.27,4.65,2.4
19,2000,3,100,RandomAgent,0.1,47.33,11.979194463735864,60.4,12.760877712759417,0.2914046121593291,0.363265306122449,0.3920335429769392,0.3795918367346939,1.23,2.21,4.77,2.45
20,2500,0,100,DQNAgent,0.72,68.23,14.049807827867255,73.375,11.469085863989141,0.2784,0.3325062034739454,0.3984,0.40694789081885857,2.19,5.68,6.25,4.03
21,2500,1,100,RandomAgent,0.1,47.83,12.565870443387517,59.6,6.3118935352238,0.32293986636971045,0.3346303501945525,0.35634743875278396,0.377431906614786,0.99,1.94,4.49,2.57
22,2500,2,100,RandomAgent,0.1,47.96,13.415602856375855,69.3,16.48059464946578,0.28868360277136257,0.3515625,0.3695150115473441,0.3671875,1.16,2.15,4.33,2.56
23,2500,3,100,RandomAgent,0.08,48.52,11.687155342511709,65.0,6.06217782649107,0.2523148148148148,0.2901960784313726,0.3958333333333333,0.38823529411764707,1.16,1.96,4.32,2.55
24,3000,0,100,DQNAgent,0.71,64.82,13.156276068857782,69.74647887323944,9.906205637724144,0.2680921052631579,0.34748010610079577,0.3881578947368421,0.4005305039787798,2.23,4.52,6.08,3.77
25,3000,1,100,RandomAgent,0.09,47.98,11.621514531247636,67.44444444444444,6.668518261388293,0.2675736961451247,0.31020408163265306,0.3854875283446712,0.37142857142857144,1.11,2.05,4.41,2.45
26,3000,2,100,RandomAgent,0.11,47.29,10.568154995078375,63.36363636363637,11.83425480445894,0.26401869158878505,0.3686440677966102,0.4369158878504673,0.4449152542372881,1.2,2.02,4.28,2.36
27,3000,3,100,RandomAgent,0.09,49.41,11.225056792729381,64.44444444444444,5.418304595660715,0.2562929061784897,0.33204633204633205,0.4439359267734554,0.4594594594594595,1.19,2.07,4.37,2.59
28,3500,0,100,DQNAgent,0.74,66.73,13.925412022629706,70.41891891891892,12.173305705692133,0.24725274725274726,0.27848101265822783,0.4258241758241758,0.439873417721519,2.94,6.34,3.64,3.16
29,3500,1,100,RandomAgent,0.04,49.47,11.512997003387085,64.75,10.425329730996522,0.2894736842105263,0.32234432234432236,0.4352226720647773,0.43223443223443225,0.93,2.0,4.94,2.73
30,3500,2,100,RandomAgent,0.12,47.75,12.368003072444639,68.16666666666667,11.660712766474537,0.2703252032520325,0.3568627450980392,0.4186991869918699,0.4196078431372549,1.16,1.82,4.92,2.55
31,3500,3,100,RandomAgent,0.1,49.28,12.814897580550536,70.5,13.944532978913276,0.2807017543859649,0.3230769230769231,0.3991228070175439,0.38846153846153847,1.0,1.98,4.56,2.6
32,4000,0,100,DQNAgent,0.69,63.02,14.306627834678583,68.95652173913044,11.393406156357733,0.27350427350427353,0.3278236914600551,0.3831908831908832,0.42424242424242425,1.56,6.76,7.02,3.63
33,4000,1,100,RandomAgent,0.07,47.3,10.642837967384452,63.857142857142854,6.555882231762152,0.2517482517482518,0.2992125984251969,0.38461538461538464,0.33858267716535434,1.17,2.05,4.29,2.54
34,4000,2,100,RandomAgent,0.13,49.43,12.415518515148694,63.07692307692308,10.103019643510537,0.24532710280373832,0.29571984435797666,0.3691588785046729,0.36964980544747084,1.25,2.1,4.28,2.57
35,4000,3,100,RandomAgent,0.11,46.56,11.40817250921461,60.81818181818182,7.119986999709554,0.2838137472283814,0.3360995850622407,0.401330376940133,0.3775933609958506,1.31,2.07,4.51,2.41
36,4500,0,100,DQNAgent,0.79,70.42,12.24841214198804,73.40506329113924,11.137255289151858,0.2738336713995943,0.32722513089005234,0.38336713995943206,0.39790575916230364,1.65,9.62,4.93,3.82
37,4500,1,100,RandomAgent,0.14,53.9,12.317873193047571,67.78571428571429,8.841287652086587,0.24791666666666667,0.3263888888888889,0.4166666666666667,0.4513888888888889,1.41,2.01,4.8,2.88
38,4500,2,100,RandomAgent,0.04,48.61,12.4506184585345,66.25,8.842369591913696,0.29,0.3412698412698413,0.41,0.46825396825396826,1.49,1.73,5.0,2.52
39,4500,3,100,RandomAgent,0.03,47.52,13.110667412454639,77.33333333333333,5.436502143433364,0.26963906581740976,0.3598326359832636,0.4267515923566879,0.3682008368200837,1.11,1.86,4.71,2.39
40,5000,0,1500,DQNAgent,0.71,68.75466666666667,14.421967441680378,74.32112676056337,11.865291421387347,0.27353901996370233,0.3466958972752897,0.41038112522686027,0.40745380519887253,1.118,7.124666666666666,9.183333333333334,4.257333333333333
41,5000,1,1500,RandomAgent,0.10533333333333333,48.99,12.491513118913977,67.17088607594937,10.433146446997169,0.27421487603305783,0.32170856988375235,0.39801652892561984,0.4025412273587456,1.4326666666666668,2.078,4.033333333333333,2.466
42,5000,2,1500,RandomAgent,0.104,49.77,12.149668033873738,66.0448717948718,9.100819171862941,0.2723489262527052,0.320695102685624,0.39770268020642585,0.3909952606635071,1.4233333333333333,2.156,4.004666666666667,2.532
43,5000,3,1500,RandomAgent,0.08066666666666666,48.90266666666667,12.084971089010606,66.85123966942149,9.011160350360765,0.2604386677497969,0.31455525606469004,0.40389926888708366,0.39730458221024256,1.3846666666666667,2.0693333333333332,4.1033333333333335,2.473333333333333
