,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,PPO,0.32,52.24,11.02916134617678,62.25,7.232738070744716,0.26907630522088355,0.3309608540925267,0.38353413654618473,0.40569395017793597,1.18,2.67,4.98,2.81
1,0,1,100,RandomAgent,0.17,49.54,10.793905687933353,59.88235294117647,6.182350142720584,0.2644628099173554,0.28076923076923077,0.3822314049586777,0.3769230769230769,1.45,2.39,4.84,2.6
2,0,2,100,RandomAgent,0.27,51.31,11.098373754744431,63.18518518518518,7.789057077136592,0.27729257641921395,0.3763837638376384,0.3799126637554585,0.4132841328413284,1.38,2.46,4.58,2.71
3,0,3,100,RandomAgent,0.24,49.25,12.549402376208997,63.791666666666664,6.589000725114208,0.2662473794549266,0.28294573643410853,0.3584905660377358,0.38372093023255816,1.35,2.23,4.77,2.58
4,500,0,100,PPO,0.24,49.67,10.079737099746202,60.416666666666664,6.415584324301429,0.26141078838174275,0.2857142857142857,0.36929460580912865,0.423963133640553,0.32,0.97,2.41,2.17
5,500,1,100,RandomAgent,0.25,48.48,11.58920187070706,62.08,6.950798515278659,0.28957528957528955,0.31225296442687744,0.4092664092664093,0.4031620553359684,1.53,2.09,5.18,2.53
6,500,2,100,RandomAgent,0.24,50.37,10.845879401874244,60.708333333333336,7.6999954906191705,0.2570356472795497,0.33458646616541354,0.40150093808630394,0.42857142857142855,1.64,2.8,5.33,2.66
7,500,3,100,RandomAgent,0.27,49.38,12.153007858139482,61.51851851851852,8.65114152335196,0.272,0.336,0.386,0.388,1.61,2.6,5.0,2.5
8,1000,0,100,PPO,0.3,50.12,8.27922701705902,56.3,6.583565396753748,0.26666666666666666,0.2796208530805687,0.36666666666666664,0.3459715639810427,0.08,0.3,1.5,2.11
9,1000,1,100,RandomAgent,0.22,47.58,10.710910325457869,59.72727272727273,7.586961412256845,0.27102803738317754,0.32786885245901637,0.40373831775700936,0.38524590163934425,1.51,2.43,5.35,2.44
10,1000,2,100,RandomAgent,0.21,46.52,13.08012232358704,63.285714285714285,10.133127459419601,0.27549194991055453,0.31221719457013575,0.3881932021466905,0.3665158371040724,1.73,2.74,5.59,2.21
11,1000,3,100,RandomAgent,0.27,48.0,12.445079348883237,60.629629629629626,9.149572538681987,0.30866425992779783,0.37404580152671757,0.40252707581227437,0.3969465648854962,1.65,2.31,5.54,2.62
12,1500,0,100,PPO,0.27,52.54,9.687538387020718,62.22222222222222,8.189122565639236,0.26515151515151514,0.28699551569506726,0.3560606060606061,0.3721973094170404,0.22,0.29,1.32,2.23
13,1500,1,100,RandomAgent,0.2,49.01,12.83783081365384,64.3,8.136952746575343,0.25328330206378985,0.3545816733067729,0.3827392120075047,0.41434262948207173,1.66,2.43,5.33,2.51
14,1500,2,100,RandomAgent,0.27,48.39,12.580854501980381,60.74074074074074,8.500948062999896,0.2751322751322751,0.36363636363636365,0.3915343915343915,0.38636363636363635,1.56,2.47,5.67,2.64
15,1500,3,100,RandomAgent,0.26,50.64,12.074369548759057,63.76923076923077,8.158561771385616,0.2746478873239437,0.3273381294964029,0.3961267605633803,0.3920863309352518,1.6,2.77,5.68,2.78
16,2000,0,100,PPO,0.27,53.24,10.345163120995242,63.333333333333336,9.88077070018476,0.3049645390070922,0.3303964757709251,0.3829787234042553,0.3964757709251101,0.2,0.15,1.41,2.27
17,2000,1,100,RandomAgent,0.24,47.93,12.324978701807156,63.333333333333336,10.143416036468626,0.28125,0.4007936507936508,0.35661764705882354,0.38492063492063494,1.74,2.67,5.44,2.52
18,2000,2,100,RandomAgent,0.27,48.28,14.229602945971472,63.55555555555556,11.798723513296254,0.2572402044293015,0.4074074074074074,0.3833049403747871,0.42386831275720166,1.66,2.88,5.87,2.43
19,2000,3,100,RandomAgent,0.22,48.33,12.433064787090911,63.31818181818182,7.847329387275438,0.27360308285163776,0.3293172690763052,0.3853564547206166,0.42570281124497994,1.54,2.54,5.19,2.49
20,2500,0,100,PPO,0.41,55.65,9.133865556269152,62.073170731707314,7.939989076303965,0.3409090909090909,0.30416666666666664,0.3977272727272727,0.38333333333333336,0.38,0.21,0.88,2.4
