,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,10,DQNAgent,0.5,45.7,9.57131129992124,51.0,7.797435475847171,0.35,0.3333333333333333,0.5,0.5,2.5,1.4,2.0,1.2
1,0,1,10,DQNAgent,0.1,37.4,10.528057750601485,56.0,0.0,0.30612244897959184,0.5,0.5510204081632653,0.75,0.8,1.9,4.9,0.8
2,0,2,10,DQNAgent,0.2,42.1,11.493041372935188,56.0,3.0,0.20454545454545456,0.16666666666666666,0.38636363636363635,0.3333333333333333,1.6,1.6,4.4,1.2
3,0,3,10,DQNAgent,0.2,43.9,11.945291959596467,55.5,14.5,0.19148936170212766,0.21052631578947367,0.46808510638297873,0.42105263157894735,1.9,0.5,4.7,1.9
4,10,0,10,DQNAgent,0.4,48.8,11.973303637676613,56.5,12.459935794377111,0.2826086956521739,0.3103448275862069,0.3695652173913043,0.5172413793103449,0.9,1.9,4.6,2.9
5,10,1,10,DQNAgent,0.2,45.8,8.623224454924038,52.5,5.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.38095238095238093,1.2,1.6,4.5,2.1
6,10,2,10,DQNAgent,0.1,43.5,10.735455276791944,47.0,0.0,0.3,0.5217391304347826,0.44,0.5217391304347826,0.8,2.2,5.0,2.3
7,10,3,10,DQNAgent,0.3,46.0,9.284395510748128,59.333333333333336,0.9428090415820634,0.3076923076923077,0.4583333333333333,0.4358974358974359,0.4166666666666667,1.1,1.0,3.9,2.4
