,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.03,34.73,10.460262903005832,65.66666666666667,1.247219128924647,0.27388535031847133,0.41875,0.37070063694267513,0.38125,0.39,0.92,7.85,1.6
1,0,1,100,RandomAgent,0.28,50.03,13.01649338339631,64.39285714285714,9.271073622965627,0.29336734693877553,0.33613445378151263,0.4336734693877551,0.4579831932773109,1.47,2.57,3.92,2.38
2,0,2,100,RandomAgent,0.37,51.82,11.330825212666552,60.86486486486486,8.354193516196691,0.24528301886792453,0.29545454545454547,0.419811320754717,0.3977272727272727,1.56,2.8,4.24,2.64
3,0,3,100,RandomAgent,0.32,52.32,12.093700839693366,62.5625,8.70681306506577,0.2863741339491917,0.3643122676579926,0.4018475750577367,0.40148698884758366,1.54,2.83,4.33,2.69
4,500,0,100,DQNAgent,0.36,53.87,12.394882008312948,66.02777777777777,7.8898180204021005,0.2594458438287154,0.3174061433447099,0.3702770780856423,0.3924914675767918,1.15,1.35,3.97,2.93
5,500,1,100,RandomAgent,0.26,48.8,13.379088160259654,63.15384615384615,9.796751061497211,0.2891089108910891,0.3464566929133858,0.41188118811881186,0.39763779527559057,1.19,2.36,5.05,2.54
6,500,2,100,RandomAgent,0.19,48.94,12.21869060087864,62.05263157894737,7.816808368816026,0.2950108459869848,0.33203125,0.36225596529284165,0.41015625,1.65,2.32,4.61,2.56
7,500,3,100,RandomAgent,0.19,49.57,12.085739530537632,62.63157894736842,8.743180959833719,0.2830578512396694,0.3258426966292135,0.4214876033057851,0.41947565543071164,1.3,2.43,4.84,2.67
8,1000,0,100,DQNAgent,0.62,61.64,12.6755828268368,68.29032258064517,9.979635872816514,0.27800829875518673,0.3098159509202454,0.4149377593360996,0.44785276073619634,2.11,2.5,4.82,3.26
9,1000,1,100,RandomAgent,0.1,46.11,11.679807361425102,64.4,9.624967532412771,0.2823275862068966,0.3029045643153527,0.40948275862068967,0.35269709543568467,1.27,2.3,4.64,2.41
