,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,250,RandomAgent,0.496,94.684,14.608769421138797,102.20161290322581,12.289504989315647,0.25827205882352944,0.30261348005502064,0.40579044117647056,0.42572214580467677,2.416,3.748,8.704,5.816
1,0,1,250,RandomAgent,0.504,94.924,16.131404898520156,104.13492063492063,14.146261592986086,0.2557077625570776,0.28758620689655173,0.37945205479452054,0.4103448275862069,2.42,4.068,8.76,5.8
2,100,0,250,RandomAgent,0.468,94.152,15.640233246342587,102.52136752136752,13.576373576821121,0.2817351598173516,0.313986013986014,0.41598173515981735,0.42937062937062936,2.344,3.884,8.76,5.72
3,100,1,250,RandomAgent,0.532,94.92,16.609202268622052,103.54135338345864,15.420185617694187,0.27243142724314273,0.3073742246726396,0.403068340306834,0.40248104755341146,2.476,3.756,8.604,5.804
4,200,0,1500,RandomAgent,0.49533333333333335,93.89333333333333,15.941955825919088,102.41991924629879,13.563815829584584,0.2710029181385348,0.31711545128857044,0.40339425587467365,0.40506182826765286,2.3926666666666665,3.844,8.681333333333333,5.768666666666666
5,200,1,1500,RandomAgent,0.5046666666666667,93.99866666666667,15.894485360932228,102.57595772787319,13.530184584423441,0.2675306641981023,0.30594607052316203,0.3941988737175037,0.3968656372436045,2.4286666666666665,3.942,8.642,5.785333333333333
