,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.3,53.13,10.931289951327795,63.766666666666666,6.463659094420812,0.23404255319148937,0.29015544041450775,0.39148936170212767,0.42487046632124353,0.94,5.34,2.35,1.93
1,0,1,100,RandomAgent,0.21,49.59,13.431377442392124,67.52380952380952,11.069559494048995,0.2691588785046729,0.3088235294117647,0.4205607476635514,0.35294117647058826,1.5,2.36,5.35,2.72
2,0,2,100,RandomAgent,0.26,49.33,11.921455448056667,61.15384615384615,8.645551580447458,0.24015748031496062,0.33984375,0.3937007874015748,0.38671875,1.5,2.2,5.08,2.56
3,0,3,100,RandomAgent,0.23,48.58,11.159014293386312,60.52173913043478,7.851167541075278,0.3093385214007782,0.4044943820224719,0.3968871595330739,0.38202247191011235,1.4,2.32,5.14,2.67
4,500,0,100,DQNAgent,0.36,51.66,13.115807256894255,64.55555555555556,9.123974659119067,0.2146690518783542,0.284789644012945,0.38461538461538464,0.3786407766990291,0.49,1.14,5.59,3.09
5,500,1,100,RandomAgent,0.26,49.91,11.66455742838107,61.84615384615385,8.027320214273578,0.31291028446389496,0.3582089552238806,0.424507658643326,0.4253731343283582,1.61,2.07,4.57,2.68
6,500,2,100,RandomAgent,0.25,49.95,10.433958980176222,60.68,7.754843647682395,0.28512396694214875,0.3218390804597701,0.42355371900826444,0.36398467432950193,1.48,2.69,4.84,2.61
7,500,3,100,RandomAgent,0.13,48.04,10.724663164873757,62.07692307692308,10.880197526922572,0.2709251101321586,0.45041322314049587,0.40969162995594716,0.47107438016528924,1.74,2.61,4.54,2.42
8,1000,0,100,DQNAgent,0.3,46.95,18.037391718316705,66.26666666666667,10.679991677067086,0.2839378238341969,0.35335689045936397,0.40932642487046633,0.4098939929328622,0.56,1.81,9.65,2.83
9,1000,1,100,RandomAgent,0.22,47.34,11.573435099398969,58.95454545454545,10.433674819924851,0.23243243243243245,0.29411764705882354,0.42162162162162165,0.3865546218487395,1.46,2.25,3.7,2.38
10,1000,2,100,RandomAgent,0.27,50.0,12.634080892569907,63.2962962962963,11.362103400778674,0.2712765957446808,0.340080971659919,0.4148936170212766,0.39271255060728744,1.6,2.45,3.76,2.47
11,1000,3,100,RandomAgent,0.21,48.68,11.50554648854195,59.42857142857143,7.8774629017665,0.25770308123249297,0.2857142857142857,0.40896358543417366,0.39826839826839827,1.59,2.26,3.57,2.31
