,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.03,34.73,10.460262903005832,65.66666666666667,1.247219128924647,0.27388535031847133,0.41875,0.37070063694267513,0.38125,0.39,0.92,7.85,1.6
1,0,1,100,RandomAgent,0.28,50.03,13.01649338339631,64.39285714285714,9.271073622965627,0.29336734693877553,0.33613445378151263,0.4336734693877551,0.4579831932773109,1.47,2.57,3.92,2.38
2,0,2,100,RandomAgent,0.37,51.82,11.330825212666552,60.86486486486486,8.354193516196691,0.24528301886792453,0.29545454545454547,0.419811320754717,0.3977272727272727,1.56,2.8,4.24,2.64
3,0,3,100,RandomAgent,0.32,52.32,12.093700839693366,62.5625,8.70681306506577,0.2863741339491917,0.3643122676579926,0.4018475750577367,0.40148698884758366,1.54,2.83,4.33,2.69
4,500,0,100,DQNAgent,0.44,58.72,12.688640589125377,68.06818181818181,10.138580067500772,0.2508710801393728,0.30604982206405695,0.4076655052264808,0.4199288256227758,0.28,2.01,2.87,2.81
5,500,1,100,RandomAgent,0.16,49.46,11.2910761223189,63.375,7.744958037329835,0.28544061302681994,0.3682170542635659,0.39080459770114945,0.4108527131782946,1.73,2.56,5.22,2.58
6,500,2,100,RandomAgent,0.2,49.9,12.791012469699183,64.75,7.595228765481656,0.2821497120921305,0.3816793893129771,0.40307101727447214,0.4541984732824427,1.74,2.54,5.21,2.62
7,500,3,100,RandomAgent,0.2,50.84,11.618709050492656,63.85,9.328853091350512,0.245136186770428,0.31135531135531136,0.38715953307393,0.3626373626373626,1.47,2.5,5.14,2.73
8,1000,0,100,DQNAgent,0.62,63.0,12.5833222958009,68.93548387096774,10.914434017719802,0.2653846153846154,0.2913165266106443,0.4461538461538462,0.39215686274509803,0.31,3.5,5.2,3.57
9,1000,1,100,RandomAgent,0.11,47.31,11.376023030919022,64.27272727272727,9.264702409888924,0.2839506172839506,0.38,0.38065843621399176,0.4,1.73,2.33,4.86,2.5
