,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,DQNAgent,0.01,33.14,9.520525195597141,58.0,0.0,0.256140350877193,0.2631578947368421,0.3894736842105263,0.37894736842105264,0.15,1.87,5.7,0.95
1,0,1,100,RandomAgent,0.31,49.66,11.790012722639446,59.70967741935484,10.141557901532451,0.23728813559322035,0.311284046692607,0.3855932203389831,0.40077821011673154,1.49,2.37,4.72,2.57
2,0,2,100,RandomAgent,0.4,51.36,12.684257960164638,60.6,11.026785569693464,0.273542600896861,0.3281853281853282,0.4349775784753363,0.46332046332046334,1.73,2.42,4.46,2.59
3,0,3,100,RandomAgent,0.28,48.88,13.024807100299029,62.857142857142854,9.070022388199986,0.2505643340857788,0.3237704918032787,0.40857787810383744,0.4016393442622951,1.76,2.74,4.43,2.44
4,500,0,100,DQNAgent,0.47,56.99,13.384689013944254,66.0,11.002900971436308,0.263681592039801,0.28524590163934427,0.4129353233830846,0.36721311475409835,0.41,2.02,4.02,3.05
5,500,1,100,RandomAgent,0.15,47.83,12.330494718380118,63.2,10.06114638928719,0.2564102564102564,0.3237704918032787,0.38461538461538464,0.39344262295081966,1.75,2.51,5.07,2.44
6,500,2,100,RandomAgent,0.23,49.54,14.493046608632708,65.56521739130434,12.121938742040586,0.2707509881422925,0.3769230769230769,0.3952569169960474,0.38461538461538464,1.72,2.28,5.06,2.6
7,500,3,100,RandomAgent,0.15,48.63,12.326925813032219,66.86666666666666,9.091143431323085,0.28830645161290325,0.3319838056680162,0.3790322580645161,0.3319838056680162,1.63,2.41,4.96,2.47
8,1000,0,100,DQNAgent,0.51,58.6,13.766626311482415,67.19607843137256,10.986657876168083,0.2698961937716263,0.322463768115942,0.38408304498269896,0.41304347826086957,0.2,1.49,2.89,2.76
9,1000,1,100,RandomAgent,0.1,45.73,12.843562589873576,67.3,7.6557168181692825,0.2673076923076923,0.2978723404255319,0.4230769230769231,0.4,1.49,2.67,5.2,2.35
