,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
12,1500,0,100,DQNAgent,0.53,61.64,15.960275686842003,72.20754716981132,13.430967442312346,0.26521739130434785,0.3076923076923077,0.41304347826086957,0.39886039886039887,0.06,2.04,4.6,3.51
13,1500,1,100,RandomAgent,0.13,49.12,13.092196148851423,67.46153846153847,6.511709980021018,0.271523178807947,0.3181818181818182,0.4194260485651214,0.4380165289256198,1.73,2.38,4.53,2.42
14,1500,2,100,RandomAgent,0.18,51.1,10.471389592599447,61.833333333333336,7.282017424984493,0.272,0.31141868512110726,0.416,0.41522491349480967,1.46,2.85,5.0,2.89
15,1500,3,100,RandomAgent,0.16,50.18,12.522284136690079,64.0625,12.012851191536503,0.27615062761506276,0.3401639344262295,0.4309623430962343,0.4180327868852459,1.67,2.32,4.78,2.44
16,2000,0,100,DQNAgent,0.64,64.54,14.132529851374805,71.625,10.933749356922354,0.26573426573426573,0.29577464788732394,0.40093240093240096,0.4225352112676056,0.25,1.93,4.29,3.55
17,2000,1,100,RandomAgent,0.13,50.07,11.478026833911828,64.84615384615384,7.19878359218421,0.27613412228796846,0.33587786259541985,0.4240631163708087,0.44656488549618323,1.61,2.39,5.07,2.62
18,2000,2,100,RandomAgent,0.09,48.3,12.27721466783081,64.11111111111111,6.505458297024199,0.240234375,0.3117408906882591,0.380859375,0.39271255060728744,1.58,2.29,5.12,2.47
19,2000,3,100,RandomAgent,0.14,49.77,12.449783130641272,63.285714285714285,11.510421187704965,0.2776617954070981,0.4065040650406504,0.3903966597077244,0.3983739837398374,1.89,2.65,4.79,2.46
20,2500,0,100,DQNAgent,0.47,60.66,15.847536086092374,72.29787234042553,11.701818177725803,0.2755417956656347,0.33518005540166207,0.38390092879256965,0.34349030470914127,0.65,2.5,6.46,3.61
21,2500,1,100,RandomAgent,0.2,53.21,13.317878960254896,70.05,12.76117157630913,0.2634032634032634,0.3048327137546468,0.40792540792540793,0.4423791821561338,1.66,2.35,4.29,2.69
22,2500,2,100,RandomAgent,0.18,50.48,12.429384538262545,65.5,9.447221813845593,0.21541950113378686,0.24696356275303644,0.4331065759637188,0.4048582995951417,1.52,2.46,4.41,2.47
23,2500,3,100,RandomAgent,0.15,49.61,10.504184880322699,60.46666666666667,4.2405450383438,0.28832951945080093,0.3817427385892116,0.41189931350114417,0.4066390041493776,1.54,2.39,4.37,2.41
24,3000,0,100,DQNAgent,0.66,65.98,14.096084562742947,72.24242424242425,11.88717236563521,0.26881720430107525,0.31443298969072164,0.4032258064516129,0.41494845360824745,0.12,2.92,5.58,3.88
25,3000,1,100,RandomAgent,0.12,49.01,12.251118316300763,68.0,7.571877794400365,0.25949367088607594,0.35390946502057613,0.3818565400843882,0.36213991769547327,1.92,2.52,4.74,2.43
26,3000,2,100,RandomAgent,0.12,48.22,11.445156180673115,64.58333333333333,10.58661366485473,0.30869565217391304,0.3472803347280335,0.41304347826086957,0.4351464435146444,1.5,2.28,4.6,2.39
27,3000,3,100,RandomAgent,0.1,48.22,12.211944972034553,64.9,8.537564055396597,0.2620545073375262,0.3346938775510204,0.40041928721174,0.4122448979591837,1.54,2.38,4.77,2.45
28,3500,0,100,DQNAgent,0.66,67.41,14.830438294264942,74.89393939393939,11.28974969242184,0.2755741127348643,0.3527777777777778,0.3945720250521921,0.4305555555555556,0.24,4.41,4.79,3.6
29,3500,1,100,RandomAgent,0.13,49.81,12.676509772015324,66.84615384615384,9.06257013847578,0.24532224532224534,0.3373015873015873,0.35550935550935553,0.3531746031746032,1.61,2.26,4.81,2.52
30,3500,2,100,RandomAgent,0.15,51.1,11.877289253024024,65.46666666666667,5.783501438479019,0.2946236559139785,0.2793522267206478,0.410752688172043,0.4048582995951417,1.67,2.19,4.65,2.47
31,3500,3,100,RandomAgent,0.06,50.44,11.267049303167179,70.66666666666667,10.873004286866728,0.3093385214007782,0.39416058394160586,0.4027237354085603,0.38686131386861317,1.57,2.29,5.14,2.74
