,train games,agent index,eval games,agent type,win rate,mean VPs,std VPs,mean winner VPs,std winner VPs,Plot Quests Taken Frac,Plot Quests Completed Frac,Lord Quests Taken Frac,Lord Quests Completed Frac,Buildings Purchased per Game,Intrigue Cards Played per Game,Quests Taken per Game,Quests Completed per Game
0,0,0,100,PolicyAgent,0.27,50.64,12.197147207441583,64.25925925925925,8.217382626425579,0.2876190476190476,0.3173431734317343,0.3923809523809524,0.36900369003690037,1.6,1.91,5.25,2.71
1,0,1,100,RandomAgent,0.24,50.85,11.551947887694093,63.708333333333336,9.066785385252164,0.23678646934460887,0.33204633204633205,0.42071881606765327,0.41312741312741313,1.39,2.33,4.73,2.59
2,0,2,100,RandomAgent,0.29,50.01,12.30731083543436,61.51724137931034,7.744277930567443,0.3304157549234136,0.39299610894941633,0.3938730853391685,0.4085603112840467,1.3,2.34,4.57,2.57
3,0,3,100,RandomAgent,0.2,50.86,11.54817734536494,62.7,9.633794683301073,0.23965141612200436,0.2936802973977695,0.44880174291938996,0.49070631970260226,1.2,2.42,4.59,2.69
4,300,0,100,PolicyAgent,0.36,51.7,11.857908753233009,61.916666666666664,9.34337257691842,0.2938388625592417,0.31899641577060933,0.42890995260663506,0.4336917562724014,0.51,1.19,4.22,2.79
5,300,1,100,RandomAgent,0.27,51.5,12.508796904578793,64.07407407407408,8.290672697211656,0.26458333333333334,0.34980988593155893,0.38958333333333334,0.41064638783269963,1.66,2.55,4.8,2.63
6,300,2,100,RandomAgent,0.22,49.63,12.175101642286196,63.36363636363637,10.146855556572705,0.24048096192384769,0.30952380952380953,0.40080160320641284,0.376984126984127,1.53,2.37,4.99,2.52
7,300,3,100,RandomAgent,0.15,48.88,12.326621597177388,66.33333333333333,7.568942389058653,0.2615062761506276,0.2823529411764706,0.37656903765690375,0.38823529411764707,1.46,2.09,4.78,2.55
8,600,0,100,PolicyAgent,0.38,55.16,10.63740569875945,64.84210526315789,7.9091097236350585,0.216,0.27007299270072993,0.396,0.3905109489051095,0.93,0.75,2.5,2.74
9,600,1,100,RandomAgent,0.23,50.46,11.540727879990934,62.69565217391305,8.941523956330133,0.2759259259259259,0.3269961977186312,0.3814814814814815,0.4220532319391635,1.33,2.59,5.4,2.63
10,600,2,100,RandomAgent,0.17,47.48,12.399580638069983,63.0,10.830240885920258,0.27001862197392923,0.3073770491803279,0.41899441340782123,0.38524590163934425,1.4,2.14,5.37,2.44
11,600,3,100,RandomAgent,0.22,50.87,12.393268334059423,62.36363636363637,7.719782465996956,0.24758220502901354,0.3082706766917293,0.44680851063829785,0.42857142857142855,1.45,2.57,5.17,2.66
12,900,0,100,PolicyAgent,0.34,55.26,10.98873969115658,64.11764705882354,9.298212054198608,0.3263157894736842,0.350597609561753,0.4105263157894737,0.3944223107569721,0.59,0.66,1.9,2.51
13,900,1,100,RandomAgent,0.23,50.88,11.935057603547625,65.04347826086956,7.997163958551944,0.2656546489563567,0.32592592592592595,0.38330170777988615,0.45925925925925926,1.59,2.33,5.27,2.7
14,900,2,100,RandomAgent,0.23,49.71,13.678665870617646,66.56521739130434,10.383205867321315,0.22928709055876687,0.3201581027667984,0.4161849710982659,0.4150197628458498,1.62,2.61,5.19,2.53
15,900,3,100,RandomAgent,0.2,48.19,11.822601236614554,59.6,6.843975452907469,0.250501002004008,0.31020408163265306,0.39478957915831664,0.4204081632653061,1.47,2.38,4.99,2.45
16,1200,0,100,PolicyAgent,0.4,54.84,10.813621040151167,63.7,9.138380600522172,0.24183006535947713,0.2719665271966527,0.41830065359477125,0.4351464435146444,0.43,0.24,1.53,2.39
17,1200,1,100,RandomAgent,0.23,48.39,12.101152837643196,63.08695652173913,9.140987690322714,0.2534722222222222,0.3360323886639676,0.3888888888888889,0.42105263157894735,1.54,2.41,5.76,2.47
18,1200,2,100,RandomAgent,0.25,49.11,12.138282415564403,60.2,10.031948963187562,0.28599221789883267,0.34,0.42217898832684825,0.428,1.6,2.5,5.14,2.5
19,1200,3,100,RandomAgent,0.12,47.32,11.398140199172845,62.833333333333336,15.021281199980544,0.2857142857142857,0.3389121338912134,0.4116541353383459,0.401673640167364,1.56,2.31,5.32,2.39
